begin_date,type,paperless_billing,pay_mentmethod,monthly_charges,total_charges,senior_citizen,partner,dependents,internet_service,online_security,online_backup,device_protection,tech_support
2017-06-01,Two year,Yes,Bank transfer (automatic),20.05,614.45,0,No,No,,,,,
2014-02-01,One year,Yes,Bank transfer (automatic),106.1,7848.5,0,Yes,Yes,Fiber optic,Yes,No,Yes,No
2014-03-01,Two year,No,Mailed check,91.05,6293.75,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes
2019-11-01,Month-to-month,Yes,Mailed check,46.1,130.15,0,Yes,No,DSL,No,No,No,No
2019-06-01,Two year,No,Mailed check,20.15,165.5,0,Yes,Yes,,,,,
2016-08-01,Month-to-month,Yes,Electronic check,98.4,4187.75,1,No,No,Fiber optic,No,No,Yes,No
2014-02-01,Two year,Yes,Bank transfer (automatic),90.15,6716.45,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes
2018-04-01,Month-to-month,No,Electronic check,39.2,849.9,0,Yes,Yes,DSL,No,Yes,No,No
2018-03-01,One year,No,Bank transfer (automatic),60.0,1347.15,0,Yes,No,DSL,No,No,No,Yes
2014-08-01,Two year,No,Bank transfer (automatic),109.25,7082.5,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No
2014-03-01,Two year,Yes,Electronic check,106.8,7623.2,1,No,No,Fiber optic,No,Yes,No,Yes
2018-10-01,Two year,No,Bank transfer (automatic),68.25,1114.85,0,Yes,Yes,DSL,Yes,Yes,No,Yes
2014-09-01,Two year,Yes,Electronic check,110.35,7246.15,1,No,No,Fiber optic,Yes,No,Yes,Yes
2014-05-01,Two year,No,Mailed check,19.4,1346.2,0,Yes,Yes,,,,,
2019-09-01,Month-to-month,No,Mailed check,19.65,19.65,0,No,No,,,,,
2019-10-01,Month-to-month,No,Mailed check,25.25,101.9,0,No,No,,,,,
2020-01-01,Month-to-month,Yes,Credit card (automatic),49.8,49.8,0,No,No,DSL,No,No,No,No
2015-02-01,Two year,No,Credit card (automatic),60.8,3603.45,0,Yes,No,DSL,No,Yes,Yes,Yes
2019-10-01,Month-to-month,No,Mailed check,48.25,202.25,0,No,No,DSL,Yes,No,Yes,Yes
2020-01-01,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,No,No,,,,,
2019-12-01,Month-to-month,Yes,Electronic check,80.15,194.55,0,Yes,No,Fiber optic,Yes,No,No,Yes
2016-03-01,Month-to-month,No,Electronic check,87.2,4017.45,0,Yes,Yes,Fiber optic,No,Yes,No,No
2019-11-01,One year,No,Mailed check,21.2,52.05,0,No,No,,,,,
